id,start_block,end_block,arena_type,round_interval,required_medal_count,total_prize,battle_ticket_policy_id,refresh_ticket_policy_id,created_at,updated_at,prize_detail_url,season_group_id
1,4982621,5133820,2,7560,0,75,3,3,,,,4
2,5133821,5285020,0,7560,0,0,2,2,,,,0
3,5285021,5436220,1,7560,0,75,1,1,,,,12
4,5436221,5587420,0,7560,0,0,2,2,,,,0
5,5587421,5738620,1,7560,0,75,1,1,,,,13
6,5738621,5889820,0,7560,0,0,2,2,,,,0
7,5889821,6041020,2,7560,0,75,3,3,,,,5
8,6041021,6192220,0,7560,0,0,2,2,,,,0
9,6192221,6343420,1,7560,0,75,1,1,,,,14
10,6343421,6494620,0,7560,0,0,2,2,,,,0
11,6494621,6645820,1,7560,0,75,1,1,,,,15
12,6645821,6797020,0,7560,0,0,2,2,,,,0
13,6797021,6948220,2,7560,0,75,3,3,,,,6
14,6948221,7099420,0,7560,0,0,2,2,,,,0
15,7099421,7250620,1,7560,0,75,1,1,,,,16
16,7250621,7401820,0,7560,0,0,2,2,,,,0
17,7401821,7553020,1,7560,0,75,1,1,,,,17
18,7553021,7704220,0,7560,0,0,2,2,,,,0
19,7704221,7855420,2,7560,0,75,3,3,,,,18
20,7855421,8006620,0,7560,0,0,1,1,,,,0
