id,start_block,end_block,arena_type,round_interval,required_medal_count,total_prize,battle_ticket_policy_id,refresh_ticket_policy_id,created_at,updated_at,prize_detail_url,season_group_id
1,872759,1023958,1,7560,0,75,1,1,,,,3
2,1023959,1175158,0,7560,0,0,2,2,,,,0
3,1175159,1326358,2,7560,0,75,3,3,,,,1
4,1326359,1477558,0,7560,0,0,2,2,,,,0
5,1477559,1628758,1,7560,0,75,1,1,,,,4
6,1628759,1779958,0,7560,0,0,2,2,,,,0
7,1779959,1931158,1,7560,0,75,1,1,,,,5
8,1931159,2082358,0,7560,0,0,2,2,,,,0
9,2082359,2233558,1,7560,0,75,1,1,,,,6
10,2233559,2384758,0,7560,0,0,2,2,,,,0
11,2384759,2535958,2,7560,0,75,3,3,,,,2
12,2535959,2687158,0,7560,0,0,2,2,,,,0
13,2687159,2838358,1,7560,0,75,1,1,,,,7
14,2838359,2989558,0,7560,0,0,2,2,,,,0
15,2989559,3140758,1,7560,0,75,1,1,,,,8
16,3140759,3291958,0,7560,0,0,2,2,,,,0
17,3291959,3443158,2,7560,0,75,3,3,,,,3
18,3443159,3594358,0,7560,0,0,2,2,,,,0
19,3594359,3745558,1,7560,0,75,1,1,,,,9
20,3745559,3896758,0,7560,0,0,2,2,,,,0
